city,lng,iso2,population
Diyarbakır,40.24,TR,1732396
Indianapolis,-86.1458,US,1729849
Pimpri-Chinchwad,73.8037,IN,1727692
Masqaţ,58.4083,OM,1720000
Montevideo,-56.1819,UY,1719453
Shuozhou,112.4329,CN,1714857
Manhattan,-73.9662,US,1694263
Cincinnati,-84.506,US,1692702
Kansas City,-94.5541,US,1689556
Patna,85.1376,IN,1684222
Tegucigalpa,-87.2047,HN,1682725
Kampala,32.5811,UG,1680600
Cleveland,-81.6805,US,1680247
Sanzhou,108.4,CN,1680000
Changshu,120.753,CN,1677050
Heihe,127.521,CN,1673899
Conakry,-13.7122,GN,1667864
Ximeicun,118.3849,CN,1663542
Caloocan City,120.97,PH,1661584
Masvingo,30.8328,ZW,1638528
Zhongli,121.2168,TW,1632616
Novosibirsk,82.95,RU,1625631
Bilāspur,82.15,IN,1625502
Semarang,110.4225,ID,1621384
Jingdezhen,117.1986,CN,1618979
Ludhiāna,75.85,IN,1618879
Liaoyang,123.176,CN,1604580
Chengtangcun,117.15,CN,1603659
Rājshāhi,88.6,BD,1600000
Balandougou,-9.5517,ML,1596882
Jiangyin,120.295,CN,1595138
Valencia,-0.3764,ES,1595000
Āgra,78.02,IN,1585704
León de los Aldama,-101.6833,MX,1579803
Puebla,-98.1833,MX,1576259
Columbus,-82.9855,US,1572546
Yopougon,-4.0667,CI,1571065
Hebi,114.297,CN,1569208
Shīrāz,52.5425,IR,1565572
Madurai,78.1198,IN,1561129
Huzhou,120.0875,CN,1558826
Tabrīz,46.3006,IR,1558693
Jamshedpur,86.1842,IN,1558000
Maracaibo,-71.6333,VE,1551539
Sofia,23.33,BG,1547779
San José,-84.08,CR,1543000
Prayagraj,81.8464,IN,1536218
Palembang,104.7556,ID,1535952
Kawasaki,139.7,JP,1531646
Kōbe,135.1956,JP,1521707
Jiaxing,120.756,CN,1518654
Kigali,30.0594,RW,1518632
Zhangjiajie,110.479,CN,1517027
Baiyin,104.1389,CN,1512110
Guiping,110.0833,CN,1511011
Lianjiang,110.2833,CN,1509400
Jianguang,115.7833,CN,1507402
Yucheng,103.0415,CN,1507258
Xushan,121.2333,CN,1502000
Panama City,-79.5167,PA,1500189
Nneyi-Umuleri,6.8333,NG,1500000
Leizhou,110.0967,CN,1494700
Gwangju,126.8486,KR,1490092
Katako-Kombe,24.42,CD,1488922
Recife,-34.9,BR,1488920
Nāsik,73.7898,IN,1486053
Valencia,-68,VE,1484430
Onitsha,6.7833,NG,1483000
Abu Dhabi,54.3667,AE,1483000
Zapopan,-103.4,MX,1476491
Daejeon,127.385,KR,1475221
Bronx,-73.8662,US,1472654
